date,close
20170809,2.664
20170810,2.655
20170811,2.613
20170814,2.635
20170815,2.651
20170816,2.64
20170817,2.652
20170818,2.664
20170821,2.663
20170822,2.689
20170823,2.708
20170824,2.698
20170825,2.757
20170828,2.788
20170829,2.789
20170830,2.774
20170831,2.766
20170901,2.76
20170904,2.764
20170905,2.782
20170906,2.764
20170907,2.743
20170908,2.738
20170911,2.73
20170912,2.746
20170913,2.739
20170914,2.722
20170915,2.722
20170918,2.729
20170919,2.72
20170920,2.717
20170921,2.728
20170922,2.729
20170925,2.729
20170926,2.731
20170927,2.711
20170928,2.715
20170929,2.726
20171009,2.75
20171010,2.746
20171011,2.762
20171012,2.773
20171013,2.771
20171016,2.781
20171017,2.779
20171018,2.802
20171019,2.806
20171020,2.79
20171023,2.791
20171024,2.806
20171025,2.802
20171026,2.827
20171027,2.873
20171030,2.861
20171031,2.851
20171101,2.842
20171102,2.847
20171103,2.851
20171106,2.843
20171107,2.875
20171108,2.874
20171109,2.885
20171110,2.918
20171113,2.928
20171114,2.913
20171115,2.901
20171116,2.932
20171117,2.99
20171120,2.996
20171121,3.046
20171122,3.067
20171123,2.991
20171124,2.99
20171127,2.966
20171128,2.896
20171129,2.89
20171130,2.858
20171201,2.838
20171204,2.858
20171205,2.908
20171206,2.871
20171207,2.844
20171208,2.865
20171211,2.898
20171212,2.846
20171213,2.87
20171214,2.85
20171215,2.816
20171218,2.828
20171219,2.87
20171220,2.876
20171221,2.893
20171222,2.878
20171225,2.876
20171226,2.893
20171227,2.834
20171228,2.855
20171229,2.858
20180102,2.907
20180103,2.912
20180104,2.919
20180105,2.933
20180108,2.944
20180109,2.97
20180110,2.994
20180111,2.991
20180112,3.018
20180115,3.043
20180116,3.064
20180117,3.071
20180118,3.106
20180119,3.113
20180122,3.129
20180123,3.173
20180124,3.172
20180125,3.15
20180126,3.171
20180129,3.114
20180130,3.075
20180131,3.113
20180201,3.134
20180202,3.145
20180205,3.18
20180206,3.11
20180207,3.023
20180208,2.939
20180209,2.803
20180212,2.8
