,trade_date,trade_date_int,settle_1,settle_2,v1,v2,v2-v1,mean,std,v2-v1-mean,K,wind_id_1,wind_id_2,contract_multiplier_1,contract_multiplier_2,end_date_1,end_date_2
235,2017-08-28,20170828,0.0447,0.0658,0.15131470561027527,0.15183326601982117,0.0005185604095458984,0.004728919267654419,0.008487434285451893,-0.004210358858108521,2.8,10000965.SH,10000995.SH,10000.0,10000.0,20170927,20171025
236,2017-08-29,20170829,0.0445,0.0664,0.1519428789615631,0.15354135632514954,0.0015984773635864258,0.004381430149078369,0.008465072528694995,-0.002782952785491943,2.8,10000965.SH,10000995.SH,10000.0,10000.0,20170927,20171025
237,2017-08-30,20170830,0.0365,0.0603,0.15129104256629944,0.1579224169254303,0.006631374359130859,0.004654914140701294,0.008443905578649907,0.0019764602184295654,2.8,10000965.SH,10000995.SH,10000.0,10000.0,20170927,20171025
238,2017-08-31,20170831,0.0341,0.0573,0.1575842797756195,0.16115519404411316,0.0035709142684936523,0.004880577325820923,0.008346188874157123,-0.0013096630573272705,2.8,10000965.SH,10000995.SH,10000.0,10000.0,20170927,20171025
239,2017-09-01,20170901,0.0531,0.0766,0.15627750754356384,0.1590980589389801,0.0028205513954162598,0.0051376640796661375,0.008190414741077937,-0.0023171126842498778,2.75,10000957.SH,10000994.SH,10000.0,10000.0,20170927,20171025
240,2017-09-04,20170904,0.0538,0.078,0.1613750159740448,0.16224750876426697,0.000872492790222168,0.005082222819328308,0.008216615610918214,-0.00420973002910614,2.75,10000957.SH,10000994.SH,10000.0,10000.0,20170927,20171025
241,2017-09-05,20170905,0.0364,0.0619,0.15858206152915955,0.16268840432167053,0.004106342792510986,0.004906541109085083,0.008197039048680863,-0.000800198316574097,2.8,10000965.SH,10000995.SH,10000.0,10000.0,20170927,20171025
242,2017-09-06,20170906,0.0518,0.0784,0.16184386610984802,0.16693422198295593,0.00509035587310791,0.004566711187362671,0.008031633071399959,0.0005236446857452394,2.75,10000957.SH,10000994.SH,10000.0,10000.0,20170927,20171025
243,2017-09-07,20170907,0.0345,0.0625,0.14223554730415344,0.15724226832389832,0.015006721019744873,0.005374318361282349,0.008236492015292344,0.009632402658462524,2.75,10000957.SH,10000994.SH,10000.0,10000.0,20170927,20171025
244,2017-09-08,20170908,0.0321,0.0595,0.14617183804512024,0.15788421034812927,0.011712372303009033,0.00618356466293335,0.008010087915585423,0.005528807640075684,2.75,10000957.SH,10000994.SH,10000.0,10000.0,20170927,20171025
245,2017-09-11,20170911,0.0292,0.0564,0.16322442889213562,0.16585829854011536,0.0026338696479797363,0.006005531549453736,0.008049305162955803,-0.0033716619014739994,2.75,10000957.SH,10000994.SH,10000.0,10000.0,20170927,20171025
246,2017-09-12,20170912,0.0378,0.0635,0.17405357956886292,0.1656680405139923,-0.008385539054870605,0.005346581339836121,0.008669318127432204,-0.013732120394706726,2.75,10000957.SH,10000994.SH,10000.0,10000.0,20170927,20171025
247,2017-09-13,20170913,0.0314,0.0625,0.1664145290851593,0.17473122477531433,0.00831669569015503,0.005683121085166931,0.00864625912446831,0.0026335746049880983,2.75,10000957.SH,10000994.SH,10000.0,10000.0,20170927,20171025
248,2017-09-14,20170914,0.0174,0.0456,0.13865813612937927,0.15282270312309265,0.014164566993713379,0.006257271766662598,0.008816046004494746,0.007907295227050781,2.75,10000957.SH,10000994.SH,10000.0,10000.0,20170927,20171025
